#  Time [ns]; RMSD [nm]
! color='C0'
   0.000    0.000
  10.000    0.312
  20.000    0.264
  30.000    0.274
  40.000    0.289
  50.000    0.343
  60.000    0.288
  70.000    0.231
  80.000    0.349
  90.000    0.355
 100.000    0.242
 110.000    0.362
 120.000    0.347
 130.000    0.283
 140.000    0.249
 150.000    0.307
 160.000    0.317
 170.000    0.257
 180.000    0.282
 190.000    0.368
 200.000    0.341
 210.000    0.330
 220.000    0.267
 230.000    0.287
 240.000    0.326
 250.000    0.315
 260.000    0.367
 270.000    0.373
 280.000    0.323
 290.000    0.359
 300.000    0.319
 310.000    0.311
 320.000    0.262
 330.000    0.367
 340.000    0.308
 350.000    0.299
 360.000    0.296
 370.000    0.251
 380.000    0.341
 390.000    0.260
 400.000    0.268
 410.000    0.285
 420.000    0.286
 430.000    0.312
 440.000    0.322
 450.000    0.242
 460.000    0.350
 470.000    0.171
 480.000    0.336
 490.000    0.290
 500.000    0.265
 510.000    0.226
 520.000    0.227
 530.000    0.302
 540.000    0.283
 550.000    0.260
 560.000    0.351
 570.000    0.296
 580.000    0.302
 590.000    0.222
 600.000    0.311
 610.000    0.357
 620.000    0.404
 630.000    0.261
 640.000    0.297
 650.000    0.336
 660.000    0.231
 670.000    0.251
 680.000    0.260
 690.000    0.349
 700.000    0.251
 710.000    0.322
 720.000    0.290
 730.000    0.280
 740.000    0.283
 750.000    0.312
 760.000    0.332
 770.000    0.360
 780.000    0.304
 790.000    0.345
 800.000    0.275
